iter,norm(d0-d)^2,gradient norm,,,,
105,2125.1,16.493,-14.109,6.9979,2.7304,4.0658
106,2119.2,16.457,-14.08,6.9817,2.7205,4.056
107,2113.3,16.422,-14.051,6.9655,2.7105,4.0463
108,2107.4,16.386,-14.022,6.9494,2.7007,4.0366
109,2101.5,16.351,-13.994,6.9334,2.6908,4.027
110,2095.6,16.316,-13.965,6.9173,2.681,4.0174
111,2089.8,16.28,-13.936,6.9014,2.6712,4.0078
112,2084,16.245,-13.908,6.8855,2.6614,3.9983
113,2078.3,16.21,-13.879,6.8696,2.6516,3.9888
114,2072.5,16.175,-13.851,6.8538,2.6419,3.9794
115,2066.8,16.141,-13.823,6.838,2.6322,3.9699
116,2061.1,16.105,-13.794,6.8223,2.6226,3.9606
117,2055.4,16.071,-13.766,6.8066,2.6129,3.9512
118,2049.8,16.036,-13.738,6.791,2.6033,3.9419
119,2044.1,16.002,-13.71,6.7754,2.5937,3.9326
120,2038.5,15.968,-13.682,6.7599,2.5841,3.9234
121,2033,15.933,-13.654,6.7444,2.5746,3.9142
122,2027.4,15.9,-13.627,6.729,2.5651,3.905
123,2021.9,15.866,-13.599,6.7136,2.5556,3.8959
124,2016.4,15.831,-13.571,6.6982,2.5461,3.8868
125,2010.9,15.798,-13.544,6.6829,2.5367,3.8777
126,2005.4,15.764,-13.516,6.6677,2.5273,3.8687
127,2000,15.73,-13.489,6.6525,2.5179,3.8597
128,1994.6,15.697,-13.462,6.6373,2.5085,3.8507
129,1989.2,15.663,-13.434,6.6222,2.4992,3.8418
130,1983.8,15.63,-13.407,6.6071,2.4898,3.8329
131,1978.5,15.597,-13.38,6.5921,2.4806,3.824
132,1973.2,15.564,-13.353,6.5771,2.4713,3.8152
133,1967.9,15.53,-13.326,6.5622,2.4621,3.8064
134,1962.6,15.497,-13.299,6.5473,2.4528,3.7976
135,1957.3,15.465,-13.273,6.5325,2.4436,3.7889
136,1952.1,15.432,-13.246,6.5177,2.4345,3.7802
137,1946.9,15.399,-13.219,6.5029,2.4253,3.7715
138,1941.7,15.367,-13.193,6.4882,2.4162,3.7628
139,1936.5,15.334,-13.166,6.4735,2.4071,3.7542
140,1931.4,15.302,-13.14,6.4589,2.398,3.7457
141,1926.3,15.269,-13.113,6.4443,2.389,3.7371
142,1921.2,15.237,-13.087,6.4298,2.38,3.7286
143,1916.1,15.205,-13.061,6.4153,2.371,3.7201
144,1911,15.173,-13.034,6.4008,2.362,3.7117
145,1906,15.141,-13.008,6.3864,2.353,3.7033
146,1901,15.109,-12.982,6.372,2.3441,3.6949
147,1896,15.077,-12.956,6.3577,2.3352,3.6865
148,1891,15.045,-12.93,6.3434,2.3263,3.6782
149,1886.1,15.015,-12.905,6.3292,2.3175,3.6699
150,1881.1,14.983,-12.879,6.315,2.3086,3.6616
151,1876.2,14.951,-12.853,6.3008,2.2998,3.6534
152,1871.3,14.92,-12.828,6.2867,2.291,3.6452
153,1866.5,14.889,-12.802,6.2726,2.2822,3.637
154,1861.6,14.858,-12.777,6.2586,2.2735,3.6289
155,1856.8,14.826,-12.751,6.2446,2.2648,3.6208
156,1852,14.796,-12.726,6.2307,2.2561,3.6127
157,1847.2,14.764,-12.7,6.2168,2.2474,3.6046
158,1842.4,14.734,-12.675,6.2029,2.2387,3.5966
159,1837.7,14.703,-12.65,6.1891,2.2301,3.5886
160,1832.9,14.672,-12.625,6.1753,2.2215,3.5807
161,1828.2,14.642,-12.6,6.1615,2.2129,3.5727
162,1823.5,14.611,-12.575,6.1478,2.2044,3.5648
163,1818.9,14.581,-12.55,6.1341,2.1958,3.5569
164,1814.2,14.55,-12.525,6.1205,2.1873,3.5491
165,1809.6,14.521,-12.501,6.1069,2.1788,3.5412
166,1805,14.491,-12.476,6.0934,2.1703,3.5334
167,1800.4,14.46,-12.451,6.0799,2.1619,3.5257
168,1795.8,14.431,-12.427,6.0664,2.1534,3.5179
169,1791.3,14.4,-12.402,6.053,2.145,3.5102
170,1786.7,14.371,-12.378,6.0396,2.1366,3.5025
171,1782.2,14.341,-12.353,6.0262,2.1282,3.4949
172,1777.7,14.311,-12.329,6.0129,2.1199,3.4872
173,1773.2,14.282,-12.305,5.9996,2.1116,3.4796
174,1768.8,14.253,-12.281,5.9864,2.1033,3.4721
175,1764.3,14.223,-12.256,5.9732,2.095,3.4645
176,1759.9,14.193,-12.232,5.96,2.0867,3.457
177,1755.5,14.164,-12.208,5.9469,2.0785,3.4495
178,1751.1,14.135,-12.184,5.9338,2.0703,3.442
179,1746.7,14.107,-12.161,5.9207,2.0621,3.4346
180,1742.4,14.077,-12.137,5.9077,2.0539,3.4272
181,1738,14.048,-12.113,5.8948,2.0457,3.4198
182,1733.7,14.019,-12.089,5.8818,2.0376,3.4124
183,1729.4,13.991,-12.066,5.8689,2.0295,3.4051
184,1725.1,13.962,-12.042,5.856,2.0214,3.3978
185,1720.9,13.934,-12.019,5.8432,2.0133,3.3905
186,1716.6,13.905,-11.995,5.8304,2.0052,3.3832
187,1712.4,13.877,-11.972,5.8177,1.9972,3.376
188,1708.2,13.848,-11.948,5.8049,1.9892,3.3688
189,1704,13.82,-11.925,5.7923,1.9812,3.3616
190,1699.8,13.792,-11.902,5.7796,1.9732,3.3544
191,1695.6,13.764,-11.879,5.767,1.9653,3.3473
192,1691.5,13.736,-11.856,5.7544,1.9573,3.3402
193,1687.4,13.708,-11.833,5.7419,1.9494,3.3331
194,1683.3,13.68,-11.81,5.7294,1.9415,3.326
195,1679.2,13.652,-11.787,5.7169,1.9337,3.319
196,1675.1,13.624,-11.764,5.7045,1.9258,3.312
197,1671,13.596,-11.741,5.6921,1.918,3.305
198,1667,13.568,-11.718,5.6797,1.9102,3.298
199,1663,13.541,-11.696,5.6674,1.9024,3.2911
200,1658.9,13.513,-11.673,5.6551,1.8946,3.2842
201,1654.9,13.486,-11.65,5.6428,1.8868,3.2773
202,1651,13.459,-11.628,5.6306,1.8791,3.2704
203,1647,13.431,-11.605,5.6184,1.8714,3.2636
204,1643.1,13.404,-11.583,5.6062,1.8637,3.2568
205,1639.1,13.378,-11.561,5.5941,1.856,3.25
206,1635.2,13.35,-11.538,5.582,1.8483,3.2432
207,1631.3,13.323,-11.516,5.57,1.8407,3.2364
208,1627.4,13.296,-11.494,5.5579,1.8331,3.2297
209,1623.6,13.27,-11.472,5.546,1.8255,3.223
210,1619.7,13.243,-11.45,5.534,1.8179,3.2163
211,1615.9,13.216,-11.428,5.5221,1.8103,3.2097
212,1612,13.19,-11.406,5.5102,1.8028,3.203
213,1608.2,13.163,-11.384,5.4983,1.7953,3.1964
214,1604.5,13.137,-11.362,5.4865,1.7878,3.1898
215,1600.7,13.11,-11.34,5.4747,1.7803,3.1833
216,1596.9,13.084,-11.319,5.463,1.7728,3.1767
217,1593.2,13.058,-11.297,5.4512,1.7653,3.1702
218,1589.4,13.031,-11.275,5.4395,1.7579,3.1637
219,1585.7,13.006,-11.254,5.4279,1.7505,3.1572
220,1582,12.979,-11.232,5.4163,1.7431,3.1508
221,1578.3,12.954,-11.211,5.4047,1.7357,3.1443
222,1574.7,12.927,-11.189,5.3931,1.7284,3.1379
223,1571,12.902,-11.168,5.3816,1.721,3.1315
224,1567.4,12.876,-11.147,5.3701,1.7137,3.1252
225,1563.7,12.851,-11.126,5.3586,1.7064,3.1188
226,1560.1,12.824,-11.104,5.3472,1.6991,3.1125
227,1556.5,12.799,-11.083,5.3358,1.6918,3.1062
228,1552.9,12.774,-11.062,5.3244,1.6846,3.0999
229,1549.4,12.748,-11.041,5.313,1.6773,3.0936
230,1545.8,12.723,-11.02,5.3017,1.6701,3.0874
231,1542.3,12.697,-10.999,5.2904,1.6629,3.0812
232,1538.7,12.672,-10.978,5.2792,1.6557,3.075
233,1535.2,12.647,-10.957,5.268,1.6486,3.0688
234,1531.7,12.622,-10.937,5.2568,1.6414,3.0626
235,1528.2,12.597,-10.916,5.2456,1.6343,3.0565
236,1524.8,12.572,-10.895,5.2345,1.6272,3.0504
237,1521.3,12.548,-10.875,5.2234,1.6201,3.0443
238,1517.9,12.522,-10.854,5.2123,1.613,3.0382
239,1514.4,12.498,-10.834,5.2013,1.606,3.0321
240,1511,12.473,-10.813,5.1903,1.5989,3.0261
241,1507.6,12.449,-10.793,5.1793,1.5919,3.0201
242,1504.2,12.424,-10.772,5.1684,1.5849,3.0141
243,1500.8,12.399,-10.752,5.1574,1.5779,3.0081
244,1497.5,12.375,-10.732,5.1466,1.5709,3.0021
245,1494.1,12.35,-10.711,5.1357,1.564,2.9962
246,1490.8,12.326,-10.691,5.1249,1.557,2.9903
247,1487.5,12.302,-10.671,5.1141,1.5501,2.9844
248,1484.2,12.278,-10.651,5.1033,1.5432,2.9785
249,1480.9,12.254,-10.631,5.0925,1.5363,2.9727
250,1477.6,12.229,-10.611,5.0818,1.5294,2.9668
251,1474.3,12.205,-10.591,5.0712,1.5226,2.961
252,1471,12.181,-10.571,5.0605,1.5157,2.9552
253,1467.8,12.157,-10.551,5.0499,1.5089,2.9494
254,1464.6,12.134,-10.532,5.0393,1.5021,2.9436
255,1461.3,12.11,-10.512,5.0287,1.4953,2.9379
256,1458.1,12.086,-10.492,5.0182,1.4885,2.9322
257,1454.9,12.063,-10.473,5.0076,1.4818,2.9265
258,1451.7,12.039,-10.453,4.9972,1.475,2.9208
259,1448.6,12.015,-10.433,4.9867,1.4683,2.9151
260,1445.4,11.992,-10.414,4.9763,1.4616,2.9094
261,1442.3,11.969,-10.395,4.9659,1.4549,2.9038
262,1439.1,11.945,-10.375,4.9555,1.4482,2.8982
263,1436,11.923,-10.356,4.9451,1.4416,2.8926
264,1432.9,11.899,-10.336,4.9348,1.4349,2.887
265,1429.8,11.876,-10.317,4.9245,1.4283,2.8814
266,1426.7,11.853,-10.298,4.9143,1.4217,2.8759
267,1423.6,11.83,-10.279,4.904,1.4151,2.8704
268,1420.6,11.807,-10.26,4.8938,1.4085,2.8649
269,1417.5,11.784,-10.241,4.8836,1.402,2.8594
270,1414.5,11.761,-10.222,4.8735,1.3954,2.8539
271,1411.5,11.739,-10.203,4.8634,1.3889,2.8484
272,1408.4,11.716,-10.184,4.8533,1.3824,2.843
