iter,norm(d0-d)^2,gradient norm,,,,
1065,590.79,3.5233,-2.9649,1.1753,-1.0582,1.0592
1066,590.52,3.5196,-2.9611,1.1734,-1.0594,1.0583
1067,590.25,3.5158,-2.9572,1.1715,-1.0606,1.0575
1068,589.98,3.512,-2.9533,1.1696,-1.0618,1.0567
1069,589.71,3.5082,-2.9495,1.1677,-1.0629,1.0558
1070,589.44,3.5044,-2.9456,1.1658,-1.0641,1.055
1071,589.17,3.5006,-2.9417,1.1639,-1.0653,1.0542
1072,588.9,3.4969,-2.9379,1.162,-1.0665,1.0533
1073,588.63,3.4932,-2.9341,1.1602,-1.0677,1.0525
1074,588.36,3.4895,-2.9302,1.1583,-1.0689,1.0517
1075,588.1,3.4857,-2.9264,1.1564,-1.07,1.0508
1076,587.83,3.482,-2.9226,1.1546,-1.0712,1.05
1077,587.56,3.4784,-2.9188,1.1527,-1.0724,1.0492
1078,587.3,3.4746,-2.915,1.1508,-1.0735,1.0484
1079,587.03,3.471,-2.9112,1.149,-1.0747,1.0475
1080,586.77,3.4673,-2.9074,1.1471,-1.0759,1.0467
1081,586.51,3.4636,-2.9036,1.1453,-1.077,1.0459
1082,586.24,3.4599,-2.8998,1.1434,-1.0782,1.0451
1083,585.98,3.4563,-2.8961,1.1416,-1.0793,1.0443
1084,585.72,3.4526,-2.8923,1.1397,-1.0805,1.0435
1085,585.46,3.449,-2.8886,1.1379,-1.0817,1.0426
1086,585.2,3.4454,-2.8848,1.1361,-1.0828,1.0418
1087,584.93,3.4418,-2.8811,1.1342,-1.084,1.041
1088,584.68,3.4381,-2.8773,1.1324,-1.0851,1.0402
1089,584.42,3.4345,-2.8736,1.1306,-1.0862,1.0394
1090,584.16,3.431,-2.8699,1.1288,-1.0874,1.0386
1091,583.9,3.4273,-2.8661,1.1269,-1.0885,1.0378
1092,583.64,3.4237,-2.8624,1.1251,-1.0896,1.037
1093,583.38,3.4202,-2.8587,1.1233,-1.0908,1.0362
1094,583.13,3.4166,-2.855,1.1215,-1.0919,1.0354
1095,582.87,3.413,-2.8513,1.1197,-1.093,1.0346
1096,582.62,3.4095,-2.8476,1.1179,-1.0942,1.0338
1097,582.36,3.406,-2.844,1.1161,-1.0953,1.033
1098,582.11,3.4024,-2.8403,1.1143,-1.0964,1.0322
1099,581.85,3.3989,-2.8366,1.1125,-1.0975,1.0314
1100,581.6,3.3954,-2.833,1.1107,-1.0986,1.0306
1101,581.35,3.3918,-2.8293,1.1089,-1.0998,1.0298
1102,581.09,3.3884,-2.8257,1.1071,-1.1009,1.029
1103,580.84,3.3849,-2.822,1.1054,-1.102,1.0283
1104,580.59,3.3814,-2.8184,1.1036,-1.1031,1.0275
1105,580.34,3.3779,-2.8148,1.1018,-1.1042,1.0267
1106,580.09,3.3744,-2.8111,1.1,-1.1053,1.0259
1107,579.84,3.3709,-2.8075,1.0983,-1.1064,1.0251
1108,579.59,3.3675,-2.8039,1.0965,-1.1075,1.0243
1109,579.34,3.364,-2.8003,1.0947,-1.1086,1.0236
1110,579.09,3.3606,-2.7967,1.093,-1.1097,1.0228
1111,578.85,3.3572,-2.7931,1.0912,-1.1108,1.022
1112,578.6,3.3537,-2.7895,1.0895,-1.1119,1.0212
1113,578.35,3.3502,-2.7859,1.0877,-1.1129,1.0204
1114,578.11,3.3469,-2.7824,1.086,-1.114,1.0197
1115,577.86,3.3435,-2.7788,1.0842,-1.1151,1.0189
1116,577.62,3.3401,-2.7752,1.0825,-1.1162,1.0181
1117,577.37,3.3367,-2.7717,1.0807,-1.1173,1.0174
1118,577.13,3.3333,-2.7681,1.079,-1.1183,1.0166
1119,576.88,3.3299,-2.7646,1.0773,-1.1194,1.0158
1120,576.64,3.3265,-2.761,1.0755,-1.1205,1.0151
1121,576.4,3.3232,-2.7575,1.0738,-1.1215,1.0143
1122,576.15,3.3198,-2.754,1.0721,-1.1226,1.0135
1123,575.91,3.3165,-2.7505,1.0704,-1.1237,1.0128
1124,575.67,3.3132,-2.747,1.0687,-1.1247,1.012
1125,575.43,3.3099,-2.7435,1.0669,-1.1258,1.0113
1126,575.19,3.3064,-2.7399,1.0652,-1.1268,1.0105
1127,574.95,3.3032,-2.7365,1.0635,-1.1279,1.0097
1128,574.71,3.2999,-2.733,1.0618,-1.129,1.009
1129,574.47,3.2966,-2.7295,1.0601,-1.13,1.0082
1130,574.23,3.2933,-2.726,1.0584,-1.1311,1.0075
1131,574,3.2899,-2.7225,1.0567,-1.1321,1.0067
1132,573.76,3.2867,-2.7191,1.055,-1.1331,1.006
1133,573.52,3.2834,-2.7156,1.0533,-1.1342,1.0052
1134,573.29,3.2802,-2.7122,1.0516,-1.1352,1.0045
1135,573.05,3.2769,-2.7087,1.05,-1.1363,1.0037
1136,572.81,3.2737,-2.7053,1.0483,-1.1373,1.003
1137,572.58,3.2704,-2.7018,1.0466,-1.1383,1.0022
1138,572.34,3.2672,-2.6984,1.0449,-1.1394,1.0015
1139,572.11,3.264,-2.695,1.0432,-1.1404,1.0008
1140,571.88,3.2607,-2.6916,1.0416,-1.1414,1
1141,571.64,3.2574,-2.6881,1.0399,-1.1424,0.99928
1142,571.41,3.2543,-2.6847,1.0382,-1.1435,0.99855
1143,571.18,3.2511,-2.6813,1.0366,-1.1445,0.99781
1144,570.95,3.2478,-2.6779,1.0349,-1.1455,0.99707
1145,570.71,3.2446,-2.6745,1.0332,-1.1465,0.99634
1146,570.48,3.2415,-2.6712,1.0316,-1.1475,0.99561
1147,570.25,3.2383,-2.6678,1.0299,-1.1485,0.99488
1148,570.02,3.2351,-2.6644,1.0283,-1.1495,0.99415
1149,569.79,3.2319,-2.661,1.0266,-1.1505,0.99342
1150,569.56,3.2289,-2.6577,1.025,-1.1516,0.99269
1151,569.34,3.2257,-2.6543,1.0234,-1.1526,0.99196
1152,569.11,3.2226,-2.651,1.0217,-1.1536,0.99124
1153,568.88,3.2194,-2.6476,1.0201,-1.1546,0.99052
1154,568.65,3.2163,-2.6443,1.0185,-1.1555,0.98979
1155,568.43,3.2132,-2.641,1.0168,-1.1565,0.98907
1156,568.2,3.21,-2.6376,1.0152,-1.1575,0.98835
1157,567.97,3.2069,-2.6343,1.0136,-1.1585,0.98763
1158,567.75,3.2039,-2.631,1.012,-1.1595,0.98692
1159,567.52,3.2008,-2.6277,1.0103,-1.1605,0.9862
1160,567.3,3.1977,-2.6244,1.0087,-1.1615,0.98548
1161,567.07,3.1946,-2.6211,1.0071,-1.1625,0.98477
1162,566.85,3.1915,-2.6178,1.0055,-1.1634,0.98406
1163,566.63,3.1884,-2.6145,1.0039,-1.1644,0.98334
1164,566.4,3.1854,-2.6112,1.0023,-1.1654,0.98263
1165,566.18,3.1823,-2.6079,1.0007,-1.1664,0.98192
1166,565.96,3.1793,-2.6047,0.99909,-1.1673,0.98122
1167,565.74,3.1763,-2.6014,0.99749,-1.1683,0.98051
1168,565.51,3.1733,-2.5982,0.9959,-1.1693,0.9798
1169,565.29,3.1702,-2.5949,0.99431,-1.1702,0.9791
1170,565.07,3.1672,-2.5916,0.99272,-1.1712,0.97839
1171,564.85,3.1642,-2.5884,0.99113,-1.1722,0.97769
1172,564.63,3.1612,-2.5852,0.98955,-1.1731,0.97699
1173,564.41,3.1582,-2.5819,0.98797,-1.1741,0.97629
1174,564.2,3.1552,-2.5787,0.98639,-1.175,0.97559
1175,563.98,3.1522,-2.5755,0.98482,-1.176,0.97489
1176,563.76,3.1492,-2.5723,0.98324,-1.1769,0.9742
1177,563.54,3.1463,-2.5691,0.98167,-1.1779,0.9735
1178,563.32,3.1433,-2.5659,0.98011,-1.1788,0.97281
1179,563.11,3.1404,-2.5627,0.97854,-1.1798,0.97211
1180,562.89,3.1374,-2.5595,0.97698,-1.1807,0.97142
1181,562.68,3.1345,-2.5563,0.97542,-1.1817,0.97073
1182,562.46,3.1315,-2.5531,0.97386,-1.1826,0.97004
1183,562.24,3.1285,-2.5499,0.97231,-1.1835,0.96935
1184,562.03,3.1256,-2.5467,0.97076,-1.1845,0.96867
1185,561.82,3.1227,-2.5436,0.96921,-1.1854,0.96798
1186,561.6,3.1198,-2.5404,0.96766,-1.1863,0.96729
1187,561.39,3.1169,-2.5373,0.96612,-1.1873,0.96661
1188,561.18,3.114,-2.5341,0.96458,-1.1882,0.96593
1189,560.96,3.1111,-2.531,0.96304,-1.1891,0.96525
1190,560.75,3.1082,-2.5278,0.96151,-1.19,0.96456
1191,560.54,3.1053,-2.5247,0.95997,-1.191,0.96388
1192,560.33,3.1025,-2.5216,0.95844,-1.1919,0.96321
1193,560.12,3.0996,-2.5184,0.95691,-1.1928,0.96253
1194,559.9,3.0967,-2.5153,0.95539,-1.1937,0.96185
1195,559.69,3.0939,-2.5122,0.95387,-1.1946,0.96118
1196,559.48,3.091,-2.5091,0.95234,-1.1955,0.9605
1197,559.27,3.0882,-2.506,0.95083,-1.1964,0.95983
1198,559.07,3.0854,-2.5029,0.94931,-1.1974,0.95916
1199,558.86,3.0825,-2.4998,0.9478,-1.1983,0.95849
1200,558.65,3.0797,-2.4967,0.94629,-1.1992,0.95782
1201,558.44,3.0769,-2.4936,0.94478,-1.2001,0.95715
1202,558.23,3.074,-2.4905,0.94328,-1.201,0.95648
1203,558.02,3.0713,-2.4875,0.94177,-1.2019,0.95582
1204,557.82,3.0685,-2.4844,0.94027,-1.2028,0.95515
1205,557.61,3.0656,-2.4813,0.93878,-1.2036,0.95449
1206,557.41,3.0629,-2.4783,0.93728,-1.2045,0.95382
1207,557.2,3.06,-2.4752,0.93579,-1.2054,0.95316
1208,556.99,3.0573,-2.4722,0.9343,-1.2063,0.9525
1209,556.79,3.0545,-2.4691,0.93281,-1.2072,0.95184
1210,556.58,3.0518,-2.4661,0.93132,-1.2081,0.95118
1211,556.38,3.049,-2.4631,0.92984,-1.209,0.95052
1212,556.18,3.0462,-2.46,0.92836,-1.2099,0.94987
1213,555.97,3.0435,-2.457,0.92688,-1.2107,0.94921
1214,555.77,3.0408,-2.454,0.92541,-1.2116,0.94856
1215,555.57,3.038,-2.451,0.92394,-1.2125,0.9479
1216,555.36,3.0353,-2.448,0.92247,-1.2134,0.94725
1217,555.16,3.0326,-2.445,0.921,-1.2142,0.9466
1218,554.96,3.0299,-2.442,0.91953,-1.2151,0.94595
1219,554.76,3.0272,-2.439,0.91807,-1.216,0.9453
1220,554.56,3.0244,-2.436,0.91661,-1.2168,0.94465
1221,554.36,3.0217,-2.433,0.91515,-1.2177,0.944
1222,554.16,3.0191,-2.4301,0.91369,-1.2186,0.94336
1223,553.96,3.0164,-2.4271,0.91224,-1.2194,0.94271
1224,553.76,3.0137,-2.4241,0.91079,-1.2203,0.94207
1225,553.56,3.0111,-2.4212,0.90934,-1.2211,0.94143
1226,553.36,3.0084,-2.4182,0.9079,-1.222,0.94078
1227,553.16,3.0057,-2.4153,0.90645,-1.2228,0.94014
1228,552.96,3.0031,-2.4123,0.90501,-1.2237,0.9395
1229,552.76,3.0004,-2.4094,0.90357,-1.2245,0.93886
1230,552.57,2.9977,-2.4064,0.90213,-1.2254,0.93823
1231,552.37,2.9951,-2.4035,0.9007,-1.2262,0.93759
1232,552.17,2.9925,-2.4006,0.89927,-1.2271,0.93695
1233,551.98,2.9898,-2.3976,0.89784,-1.2279,0.93632
1234,551.78,2.9872,-2.3947,0.89641,-1.2288,0.93568
1235,551.58,2.9846,-2.3918,0.89499,-1.2296,0.93505
1236,551.39,2.982,-2.3889,0.89357,-1.2304,0.93442
1237,551.19,2.9794,-2.386,0.89215,-1.2313,0.93379
1238,551,2.9768,-2.3831,0.89073,-1.2321,0.93316
1239,550.8,2.9742,-2.3802,0.88931,-1.2329,0.93253
1240,550.61,2.9716,-2.3773,0.8879,-1.2338,0.9319
1241,550.42,2.969,-2.3744,0.88649,-1.2346,0.93127
1242,550.22,2.9665,-2.3716,0.88508,-1.2354,0.93065
1243,550.03,2.9639,-2.3687,0.88368,-1.2362,0.93002
1244,549.84,2.9614,-2.3658,0.88227,-1.2371,0.9294
1245,549.64,2.9588,-2.363,0.88087,-1.2379,0.92878
1246,549.45,2.9562,-2.3601,0.87947,-1.2387,0.92816
1247,549.26,2.9537,-2.3572,0.87807,-1.2395,0.92753
1248,549.07,2.9511,-2.3544,0.87668,-1.2403,0.92691
1249,548.88,2.9486,-2.3516,0.87529,-1.2411,0.9263
1250,548.69,2.9461,-2.3487,0.8739,-1.2419,0.92568
1251,548.5,2.9436,-2.3459,0.87251,-1.2428,0.92506
1252,548.31,2.941,-2.343,0.87113,-1.2436,0.92445
1253,548.12,2.9385,-2.3402,0.86974,-1.2444,0.92383
1254,547.93,2.936,-2.3374,0.86836,-1.2452,0.92322
1255,547.74,2.9336,-2.3346,0.86698,-1.246,0.9226
1256,547.55,2.9311,-2.3318,0.86561,-1.2468,0.92199
1257,547.36,2.9286,-2.329,0.86423,-1.2476,0.92138
1258,547.17,2.9261,-2.3262,0.86286,-1.2484,0.92077
1259,546.98,2.9236,-2.3234,0.86149,-1.2492,0.92016
1260,546.8,2.9211,-2.3206,0.86013,-1.25,0.91955
1261,546.61,2.9187,-2.3178,0.85876,-1.2508,0.91895
1262,546.42,2.9162,-2.315,0.8574,-1.2515,0.91834
1263,546.24,2.9137,-2.3122,0.85604,-1.2523,0.91773
1264,546.05,2.9112,-2.3094,0.85468,-1.2531,0.91713
1265,545.86,2.9088,-2.3067,0.85332,-1.2539,0.91653
1266,545.68,2.9064,-2.3039,0.85197,-1.2547,0.91592
1267,545.49,2.9039,-2.3011,0.85062,-1.2555,0.91532
1268,545.31,2.9015,-2.2984,0.84927,-1.2563,0.91472
1269,545.12,2.899,-2.2956,0.84792,-1.257,0.91412
1270,544.94,2.8967,-2.2929,0.84658,-1.2578,0.91352
1271,544.75,2.8943,-2.2902,0.84524,-1.2586,0.91293
1272,544.57,2.8919,-2.2874,0.8439,-1.2594,0.91233
1273,544.39,2.8894,-2.2847,0.84256,-1.2601,0.91173
1274,544.2,2.8871,-2.282,0.84122,-1.2609,0.91114
1275,544.02,2.8846,-2.2792,0.83989,-1.2617,0.91054
1276,543.84,2.8822,-2.2765,0.83856,-1.2624,0.90995
1277,543.66,2.8799,-2.2738,0.83723,-1.2632,0.90936
1278,543.47,2.8775,-2.2711,0.8359,-1.264,0.90877
1279,543.29,2.8751,-2.2684,0.83457,-1.2647,0.90818
1280,543.11,2.8728,-2.2657,0.83325,-1.2655,0.90759
1281,542.93,2.8704,-2.263,0.83193,-1.2662,0.907
1282,542.75,2.8681,-2.2603,0.83061,-1.267,0.90641
1283,542.57,2.8657,-2.2576,0.8293,-1.2678,0.90582
1284,542.39,2.8633,-2.2549,0.82798,-1.2685,0.90524
1285,542.21,2.861,-2.2522,0.82667,-1.2693,0.90465
1286,542.03,2.8587,-2.2496,0.82536,-1.27,0.90407
1287,541.85,2.8564,-2.2469,0.82405,-1.2708,0.90349
1288,541.67,2.854,-2.2442,0.82275,-1.2715,0.90291
1289,541.49,2.8517,-2.2416,0.82144,-1.2723,0.90232
1290,541.31,2.8494,-2.2389,0.82014,-1.273,0.90174
1291,541.14,2.847,-2.2362,0.81884,-1.2737,0.90116
1292,540.96,2.8448,-2.2336,0.81754,-1.2745,0.90059
1293,540.78,2.8425,-2.231,0.81625,-1.2752,0.90001
1294,540.6,2.8402,-2.2283,0.81496,-1.276,0.89943
1295,540.43,2.8379,-2.2257,0.81366,-1.2767,0.89886
1296,540.25,2.8356,-2.223,0.81238,-1.2774,0.89828
1297,540.07,2.8333,-2.2204,0.81109,-1.2782,0.89771
1298,539.9,2.831,-2.2178,0.8098,-1.2789,0.89713
1299,539.72,2.8288,-2.2152,0.80852,-1.2796,0.89656
1300,539.54,2.8265,-2.2126,0.80724,-1.2803,0.89599
1301,539.37,2.8243,-2.21,0.80596,-1.2811,0.89542
1302,539.19,2.822,-2.2073,0.80469,-1.2818,0.89485
1303,539.02,2.8197,-2.2047,0.80341,-1.2825,0.89428
1304,538.84,2.8174,-2.2021,0.80214,-1.2832,0.89371
1305,538.67,2.8153,-2.1996,0.80087,-1.284,0.89315
1306,538.5,2.8131,-2.197,0.7996,-1.2847,0.89258
1307,538.32,2.8108,-2.1944,0.79834,-1.2854,0.89202
1308,538.15,2.8086,-2.1918,0.79707,-1.2861,0.89145
1309,537.98,2.8063,-2.1892,0.79581,-1.2868,0.89089
1310,537.8,2.8042,-2.1867,0.79455,-1.2875,0.89032
1311,537.63,2.8019,-2.1841,0.79329,-1.2882,0.88976
1312,537.46,2.7997,-2.1815,0.79204,-1.289,0.8892
1313,537.29,2.7976,-2.179,0.79078,-1.2897,0.88864
1314,537.11,2.7953,-2.1764,0.78953,-1.2904,0.88808
1315,536.94,2.7932,-2.1739,0.78828,-1.2911,0.88752
1316,536.77,2.791,-2.1713,0.78703,-1.2918,0.88697
1317,536.6,2.7888,-2.1688,0.78579,-1.2925,0.88641
1318,536.43,2.7866,-2.1662,0.78455,-1.2932,0.88585
1319,536.26,2.7844,-2.1637,0.7833,-1.2939,0.8853
1320,536.09,2.7823,-2.1612,0.78206,-1.2946,0.88475
1321,535.92,2.7801,-2.1586,0.78083,-1.2953,0.88419
1322,535.75,2.7779,-2.1561,0.77959,-1.296,0.88364
1323,535.58,2.7758,-2.1536,0.77836,-1.2966,0.88309
1324,535.41,2.7736,-2.1511,0.77713,-1.2973,0.88254
1325,535.24,2.7715,-2.1486,0.7759,-1.298,0.88199
1326,535.07,2.7694,-2.1461,0.77467,-1.2987,0.88144
1327,534.91,2.7672,-2.1436,0.77344,-1.2994,0.88089
1328,534.74,2.7651,-2.1411,0.77222,-1.3001,0.88034
1329,534.57,2.763,-2.1386,0.771,-1.3008,0.8798
1330,534.4,2.7608,-2.1361,0.76978,-1.3014,0.87925
1331,534.24,2.7587,-2.1336,0.76856,-1.3021,0.87871
1332,534.07,2.7566,-2.1311,0.76734,-1.3028,0.87816
1333,533.9,2.7546,-2.1287,0.76613,-1.3035,0.87762
1334,533.74,2.7525,-2.1262,0.76492,-1.3042,0.87708
1335,533.57,2.7503,-2.1237,0.76371,-1.3048,0.87653
1336,533.4,2.7483,-2.1213,0.7625,-1.3055,0.87599
1337,533.24,2.7462,-2.1188,0.76129,-1.3062,0.87545
1338,533.07,2.744,-2.1163,0.76009,-1.3068,0.87491
1339,532.91,2.742,-2.1139,0.75889,-1.3075,0.87438
1340,532.74,2.7399,-2.1114,0.75769,-1.3082,0.87384
1341,532.58,2.7378,-2.109,0.75649,-1.3088,0.8733
1342,532.41,2.7358,-2.1066,0.75529,-1.3095,0.87277
1343,532.25,2.7337,-2.1041,0.7541,-1.3102,0.87223
1344,532.08,2.7317,-2.1017,0.7529,-1.3108,0.8717
1345,531.92,2.7297,-2.0993,0.75171,-1.3115,0.87116
1346,531.76,2.7275,-2.0968,0.75053,-1.3121,0.87063
1347,531.59,2.7255,-2.0944,0.74934,-1.3128,0.8701
1348,531.43,2.7235,-2.092,0.74815,-1.3134,0.86957
1349,531.27,2.7215,-2.0896,0.74697,-1.3141,0.86904
1350,531.1,2.7194,-2.0872,0.74579,-1.3147,0.86851
1351,530.94,2.7174,-2.0848,0.74461,-1.3154,0.86798
1352,530.78,2.7154,-2.0824,0.74343,-1.316,0.86745
1353,530.62,2.7134,-2.08,0.74226,-1.3167,0.86692
1354,530.46,2.7114,-2.0776,0.74108,-1.3173,0.8664
1355,530.3,2.7094,-2.0752,0.73991,-1.318,0.86587
1356,530.13,2.7074,-2.0728,0.73874,-1.3186,0.86535
1357,529.97,2.7054,-2.0704,0.73757,-1.3193,0.86482
1358,529.81,2.7034,-2.0681,0.73641,-1.3199,0.8643
1359,529.65,2.7014,-2.0657,0.73524,-1.3205,0.86378
1360,529.49,2.6994,-2.0633,0.73408,-1.3212,0.86326
1361,529.33,2.6975,-2.061,0.73292,-1.3218,0.86274
1362,529.17,2.6955,-2.0586,0.73176,-1.3225,0.86222
1363,529.01,2.6935,-2.0562,0.7306,-1.3231,0.8617
1364,528.85,2.6915,-2.0539,0.72945,-1.3237,0.86118
1365,528.69,2.6895,-2.0515,0.7283,-1.3243,0.86066
1366,528.54,2.6876,-2.0492,0.72715,-1.325,0.86014
1367,528.38,2.6857,-2.0469,0.726,-1.3256,0.85963
1368,528.22,2.6837,-2.0445,0.72485,-1.3262,0.85911
1369,528.06,2.6818,-2.0422,0.7237,-1.3268,0.8586
1370,527.9,2.6798,-2.0398,0.72256,-1.3275,0.85808
1371,527.75,2.6779,-2.0375,0.72142,-1.3281,0.85757
1372,527.59,2.676,-2.0352,0.72028,-1.3287,0.85706
1373,527.43,2.6741,-2.0329,0.71914,-1.3293,0.85655
1374,527.27,2.6721,-2.0306,0.718,-1.3299,0.85604
1375,527.12,2.6703,-2.0283,0.71687,-1.3306,0.85553
1376,526.96,2.6683,-2.0259,0.71573,-1.3312,0.85502
1377,526.8,2.6664,-2.0236,0.7146,-1.3318,0.85451
1378,526.65,2.6645,-2.0213,0.71347,-1.3324,0.854
1379,526.49,2.6625,-2.019,0.71234,-1.333,0.85349
1380,526.34,2.6606,-2.0167,0.71122,-1.3336,0.85299
1381,526.18,2.6588,-2.0145,0.71009,-1.3342,0.85248
1382,526.03,2.6569,-2.0122,0.70897,-1.3348,0.85198
1383,525.87,2.655,-2.0099,0.70785,-1.3354,0.85147
1384,525.72,2.6531,-2.0076,0.70673,-1.336,0.85097
1385,525.56,2.6512,-2.0053,0.70561,-1.3366,0.85047
1386,525.41,2.6494,-2.0031,0.7045,-1.3372,0.84996
1387,525.25,2.6475,-2.0008,0.70339,-1.3378,0.84946
1388,525.1,2.6456,-1.9985,0.70227,-1.3384,0.84896
1389,524.95,2.6438,-1.9963,0.70116,-1.339,0.84846
1390,524.79,2.6419,-1.994,0.70006,-1.3396,0.84796
1391,524.64,2.6401,-1.9918,0.69895,-1.3402,0.84747
1392,524.49,2.6382,-1.9895,0.69784,-1.3408,0.84697
1393,524.33,2.6364,-1.9873,0.69674,-1.3414,0.84647
1394,524.18,2.6345,-1.985,0.69564,-1.342,0.84598
1395,524.03,2.6327,-1.9828,0.69454,-1.3426,0.84548
1396,523.88,2.6309,-1.9806,0.69344,-1.3432,0.84499
1397,523.72,2.6291,-1.9783,0.69235,-1.3438,0.84449
1398,523.57,2.6272,-1.9761,0.69125,-1.3443,0.844
1399,523.42,2.6254,-1.9739,0.69016,-1.3449,0.84351
1400,523.27,2.6236,-1.9717,0.68907,-1.3455,0.84301
1401,523.12,2.6218,-1.9694,0.68798,-1.3461,0.84252
1402,522.97,2.62,-1.9672,0.68689,-1.3467,0.84203
1403,522.82,2.6181,-1.965,0.68581,-1.3472,0.84154
1404,522.67,2.6164,-1.9628,0.68472,-1.3478,0.84106
1405,522.52,2.6146,-1.9606,0.68364,-1.3484,0.84057
1406,522.37,2.6128,-1.9584,0.68256,-1.349,0.84008
1407,522.22,2.611,-1.9562,0.68148,-1.3495,0.83959
1408,522.07,2.6092,-1.954,0.6804,-1.3501,0.83911
1409,521.92,2.6074,-1.9518,0.67933,-1.3507,0.83862
1410,521.77,2.6057,-1.9497,0.67825,-1.3513,0.83814
1411,521.62,2.6039,-1.9475,0.67718,-1.3518,0.83765
1412,521.47,2.6021,-1.9453,0.67611,-1.3524,0.83717
1413,521.32,2.6004,-1.9431,0.67504,-1.353,0.83669
1414,521.17,2.5986,-1.941,0.67398,-1.3535,0.83621
1415,521.03,2.5969,-1.9388,0.67291,-1.3541,0.83573
1416,520.88,2.5951,-1.9366,0.67185,-1.3546,0.83525
1417,520.73,2.5934,-1.9345,0.67079,-1.3552,0.83477
1418,520.58,2.5916,-1.9323,0.66972,-1.3558,0.83429
1419,520.43,2.5899,-1.9302,0.66867,-1.3563,0.83381
1420,520.29,2.5881,-1.928,0.66761,-1.3569,0.83333
1421,520.14,2.5864,-1.9259,0.66655,-1.3574,0.83285
1422,519.99,2.5847,-1.9237,0.6655,-1.358,0.83238
1423,519.85,2.5829,-1.9216,0.66445,-1.3585,0.8319
1424,519.7,2.5812,-1.9194,0.6634,-1.3591,0.83143
1425,519.55,2.5795,-1.9173,0.66235,-1.3596,0.83095
1426,519.41,2.5778,-1.9152,0.6613,-1.3602,0.83048
1427,519.26,2.5761,-1.9131,0.66026,-1.3607,0.83001
1428,519.12,2.5744,-1.9109,0.65921,-1.3613,0.82954
1429,518.97,2.5727,-1.9088,0.65817,-1.3618,0.82906
1430,518.83,2.571,-1.9067,0.65713,-1.3624,0.82859
1431,518.68,2.5693,-1.9046,0.65609,-1.3629,0.82812
1432,518.53,2.5676,-1.9025,0.65505,-1.3634,0.82765
1433,518.39,2.5659,-1.9004,0.65402,-1.364,0.82719
1434,518.25,2.5642,-1.8983,0.65298,-1.3645,0.82672
1435,518.1,2.5625,-1.8962,0.65195,-1.365,0.82625
1436,517.96,2.5609,-1.8941,0.65092,-1.3656,0.82578
1437,517.81,2.5592,-1.892,0.64989,-1.3661,0.82532
1438,517.67,2.5575,-1.8899,0.64886,-1.3666,0.82485
1439,517.53,2.5558,-1.8878,0.64784,-1.3672,0.82439
1440,517.38,2.5541,-1.8857,0.64681,-1.3677,0.82392
1441,517.24,2.5525,-1.8837,0.64579,-1.3682,0.82346
1442,517.1,2.5509,-1.8816,0.64477,-1.3688,0.823
1443,516.95,2.5492,-1.8795,0.64375,-1.3693,0.82254
1444,516.81,2.5476,-1.8775,0.64273,-1.3698,0.82207
1445,516.67,2.5459,-1.8754,0.64172,-1.3703,0.82161
1446,516.53,2.5443,-1.8733,0.6407,-1.3709,0.82115
1447,516.38,2.5427,-1.8713,0.63969,-1.3714,0.82069
1448,516.24,2.541,-1.8692,0.63868,-1.3719,0.82024
1449,516.1,2.5394,-1.8672,0.63767,-1.3724,0.81978
1450,515.96,2.5377,-1.8651,0.63666,-1.3729,0.81932
1451,515.82,2.5362,-1.8631,0.63565,-1.3735,0.81886
1452,515.68,2.5345,-1.861,0.63464,-1.374,0.81841
1453,515.53,2.5329,-1.859,0.63364,-1.3745,0.81795
1454,515.39,2.5313,-1.857,0.63264,-1.375,0.8175
1455,515.25,2.5297,-1.8549,0.63164,-1.3755,0.81704
1456,515.11,2.5281,-1.8529,0.63064,-1.376,0.81659
1457,514.97,2.5265,-1.8509,0.62964,-1.3765,0.81614
1458,514.83,2.5249,-1.8489,0.62864,-1.377,0.81568
1459,514.69,2.5233,-1.8468,0.62765,-1.3776,0.81523
1460,514.55,2.5217,-1.8448,0.62666,-1.3781,0.81478
1461,514.41,2.5201,-1.8428,0.62567,-1.3786,0.81433
1462,514.27,2.5185,-1.8408,0.62468,-1.3791,0.81388
1463,514.13,2.517,-1.8388,0.62369,-1.3796,0.81343
1464,514,2.5154,-1.8368,0.6227,-1.3801,0.81298
1465,513.86,2.5138,-1.8348,0.62172,-1.3806,0.81254
1466,513.72,2.5122,-1.8328,0.62073,-1.3811,0.81209
1467,513.58,2.5107,-1.8308,0.61975,-1.3816,0.81164
1468,513.44,2.5091,-1.8288,0.61877,-1.3821,0.8112
1469,513.3,2.5075,-1.8268,0.61779,-1.3826,0.81075
1470,513.16,2.506,-1.8248,0.61681,-1.3831,0.81031
1471,513.03,2.5045,-1.8229,0.61584,-1.3836,0.80986
1472,512.89,2.5029,-1.8209,0.61486,-1.384,0.80942
1473,512.75,2.5013,-1.8189,0.61389,-1.3845,0.80898
1474,512.61,2.4997,-1.8169,0.61292,-1.385,0.80853
1475,512.48,2.4983,-1.815,0.61195,-1.3855,0.80809
1476,512.34,2.4967,-1.813,0.61098,-1.386,0.80765
1477,512.2,2.4952,-1.8111,0.61001,-1.3865,0.80721
1478,512.07,2.4937,-1.8091,0.60904,-1.387,0.80677
1479,511.93,2.4921,-1.8071,0.60808,-1.3875,0.80633
1480,511.79,2.4906,-1.8052,0.60712,-1.3879,0.80589
